model,peak_value_rmse,peak_value_mae,peak_time_mae,peak_time_within_1h,mean_true_peak,mean_pred_peak,overall_rmse
Mamba,61.24236295994345,52.1752313056193,1.3563073160790706,0.7478703892398614,109.48979023875614,88.08226689705423,35.370544
LSTM,57.75580357611118,47.70976653027031,1.2134501732219278,0.7312003260648053,109.48979023875614,127.44243881632943,40.172356
GRU,56.58476813845325,47.426360098386915,1.2456898308538822,0.7284695333197473,109.48979023875614,120.23484594563931,38.321507
LightGBM_Peak,55.689084900065296,46.17001228304219,1.351049521092317,0.7479111473405339,109.48979023875614,108.01350912619249,35.566166
XGBoost_Peak,56.213081492313194,46.92367582631035,1.3540656205420827,0.7487263093539841,109.48979023875614,105.09085053344208,35.417374
MLEF,54.45703079026633,46.58964941001533,1.3381292031791319,0.7551660892602404,109.48979023875614,107.88004090181066,33.657715
